Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2018-01-01 00:00:00,0.622,0.900,4.397,5.111,83.00,27.150
2018-01-01 00:30:00,0.596,1.060,4.739,4.859,80.00,27.150
2018-01-01 01:00:00,0.626,1.040,6.196,5.018,29.00,27.400
2018-01-01 01:30:00,0.604,1.000,4.942,5.064,87.00,26.950
2018-01-01 02:00:00,0.527,1.170,9.239,4.887,88.00,26.550
2018-01-01 02:30:00,0.542,0.790,9.460,5.317,67.00,26.600
2018-01-01 03:00:00,0.549,0.920,9.599,5.155,81.00,26.550
2018-01-01 03:30:00,0.534,0.900,9.305,5.193,77.00,26.400
2018-01-01 04:00:00,0.534,1.110,10.292,5.463,92.00,26.350
2018-01-01 04:30:00,0.489,0.860,9.719,5.349,88.00,26.300
2018-01-01 05:00:00,0.507,0.750,6.862,5.139,99.00,26.150
2018-01-01 05:30:00,0.517,0.860,7.625,5.219,90.00,26.100
2018-01-01 06:00:00,0.494,0.950,6.588,5.473,98.00,25.950
2018-01-01 06:30:00,0.450,0.660,8.928,5.319,88.00,25.950
2018-01-01 07:00:00,0.495,0.840,9.381,5.836,74.00,25.850
2018-01-01 07:30:00,0.453,0.700,9.769,5.679,88.00,25.950
2018-01-01 08:00:00,0.472,0.970,9.793,5.781,87.00,26.500
2018-01-01 08:30:00,0.474,0.860,10.164,5.623,81.00,27.200
2018-01-01 09:00:00,0.464,0.740,10.205,5.449,90.00,27.150
2018-01-01 09:30:00,0.489,0.790,10.261,5.107,88.00,27.150
2018-01-01 10:00:00,0.468,0.770,10.200,5.265,81.00,27.250
2018-01-01 10:30:00,0.501,0.830,10.771,4.960,85.00,27.100
2018-01-01 11:00:00,0.517,0.900,12.839,5.213,91.00,27.550
2018-01-01 11:30:00,0.532,0.910,12.840,5.430,94.00,27.150
2018-01-01 12:00:00,0.546,0.830,11.411,4.633,73.00,27.450
2018-01-01 12:30:00,0.540,0.810,9.366,4.921,92.00,27.550
2018-01-01 13:00:00,0.599,0.890,10.328,5.086,91.00,27.750
2018-01-01 13:30:00,0.595,1.010,11.610,4.454,94.00,27.750
2018-01-01 14:00:00,0.626,0.980,12.095,4.388,104.00,27.100
2018-01-01 14:30:00,0.639,1.240,11.411,4.565,106.00,26.200
2018-01-01 15:00:00,0.633,1.080,11.331,4.202,102.00,26.150
2018-01-01 15:30:00,0.665,1.270,3.871,4.139,104.00,26.100
2018-01-01 16:00:00,0.628,1.010,4.284,4.082,42.00,26.150
2018-01-01 16:30:00,0.656,1.170,10.663,4.232,102.00,26.100
2018-01-01 17:00:00,0.579,1.160,11.591,4.316,98.00,26.050
2018-01-01 17:30:00,0.516,0.850,11.652,4.502,106.00,26.450
2018-01-01 18:00:00,0.543,1.210,11.916,4.281,101.00,26.550
2018-01-01 18:30:00,0.558,0.850,9.770,4.367,113.00,26.450
2018-01-01 19:00:00,0.546,0.910,10.713,3.897,109.00,26.250
2018-01-01 19:30:00,0.590,0.960,10.366,4.190,113.00,26.250
2018-01-01 20:00:00,0.571,1.040,10.608,4.390,101.00,26.250
2018-01-01 20:30:00,0.516,0.870,10.713,4.472,108.00,26.250
2018-01-01 21:00:00,0.537,0.850,10.183,4.671,97.00,26.350
2018-01-01 21:30:00,0.513,0.820,10.782,4.711,80.00,26.400
2018-01-01 22:00:00,0.526,0.900,10.347,4.563,94.00,26.600
2018-01-01 22:30:00,0.512,0.960,10.492,5.194,91.00,26.550
2018-01-01 23:00:00,0.486,0.810,12.281,4.849,81.00,26.750
2018-01-01 23:30:00,0.546,0.910,10.299,4.739,83.00,26.950
2018-01-02 00:00:00,0.566,0.910,12.095,5.226,85.00,26.950
