Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
1/01/2018 0:00,-99.9,-99.9,-99.9,-99.9,-99.9,-99.9
1/01/2018 0:30,0.513,0.81,10.315,4.748,-99.9,-99.9
1/01/2018 1:00,0.566,0.93,10.778,5.003,92,26.4
1/01/2018 1:30,0.557,0.85,9.984,4.99,91,26.4
1/01/2018 2:00,0.569,0.96,9.277,5.214,81,26.4
1/01/2018 2:30,0.571,0.88,9.901,5.121,80,26.4
1/01/2018 3:00,0.559,0.89,10.28,5.234,75,26.35
1/01/2018 3:30,0.598,1.07,10.314,5.236,91,26.4
1/01/2018 4:00,0.6,1.1,9.784,5.404,77,26.4
1/01/2018 4:30,0.617,1.15,12.107,5.519,84,26.35
1/01/2018 5:00,0.625,1.06,9.82,5.585,88,26.35
1/01/2018 5:30,0.602,1,9.943,5.509,80,26.35
1/01/2018 6:00,0.628,1.07,10.825,5.636,77,26.35
1/01/2018 6:30,0.607,1.2,10.292,5.335,95,26.35
1/01/2018 7:00,0.581,0.92,10.277,5.414,81,26.35
1/01/2018 7:30,0.604,0.92,10.26,5.49,70,26.4
1/01/2018 8:00,0.597,0.91,10.799,5.493,83,26.45
1/01/2018 8:30,0.574,0.97,10.073,5.117,88,26.5
1/01/2018 9:00,0.562,0.99,10.702,4.991,98,26.55
1/01/2018 9:30,0.552,0.9,12.711,4.646,97,26.6
1/01/2018 10:00,0.558,0.98,10.355,4.828,84,26.65
1/01/2018 10:30,0.568,0.93,11.534,4.865,87,26.7
1/01/2018 11:00,0.555,1.09,9.734,4.496,92,26.75
1/01/2018 11:30,0.598,1.05,10.31,4.804,94,26.85
1/01/2018 12:00,0.591,1.06,9.746,4.842,77,26.9
1/01/2018 12:30,0.557,1,12.023,4.629,97,26.95
1/01/2018 13:00,0.629,1.05,11.646,4.374,99,26.95
1/01/2018 13:30,0.614,1.01,10.826,4.266,111,26.9
1/01/2018 14:00,0.616,1.02,12.571,4.451,85,26.8
1/01/2018 14:30,0.649,1.09,12.28,4.531,108,26.8
1/01/2018 15:00,0.629,1.15,11.732,4.185,102,26.8
1/01/2018 15:30,0.681,1.08,11.233,4.281,105,26.75
1/01/2018 16:00,0.65,1.24,11.856,4.137,115,26.7
1/01/2018 16:30,0.636,1.19,10.415,3.978,113,26.7
1/01/2018 17:00,0.661,1.28,9.812,4.289,113,26.7
1/01/2018 17:30,0.641,1.13,9.811,4.29,95,26.65
1/01/2018 18:00,0.643,1.16,9.692,4.614,116,26.65
1/01/2018 18:30,0.649,1.14,10.201,4.466,99,26.6
1/01/2018 19:00,0.63,0.98,10.113,4.753,97,26.6
1/01/2018 19:30,0.643,1.04,11.88,4.613,109,26.6
1/01/2018 20:00,0.661,1.1,10.711,4.609,95,26.6
1/01/2018 20:30,0.662,1.25,12.563,4.81,108,26.55
1/01/2018 21:00,0.654,1.08,10.836,4.835,101,26.55
1/01/2018 21:30,0.652,1.04,11.593,4.881,102,26.55
1/01/2018 22:00,0.649,1.09,8.5,4.846,91,26.55
1/01/2018 22:30,0.608,0.97,12.077,4.756,92,26.55
1/01/2018 23:00,0.671,1.07,11.865,4.731,85,26.45
1/01/2018 23:30,0.668,1.18,9.794,4.995,101,26.45
